TextileID,Time,Taskname,10M,1M,330k,100k,47k,10k,4.7k,1k,407,220,47,10,4.7,Newton,Weight
e4,47867,PressureDynamics,3836,3703,3416,2800,2393,950,536,135,67,35,10,2,1,0.772,-1
e4,47876,PressureDynamics,3843,3701,3414,2801,2386,946,537,136,68,35,10,2,2,0.774,-1
e4,47885,PressureDynamics,3835,3706,3413,2800,2382,950,540,136,68,35,10,2,1,0.772,-1
e4,47894,PressureDynamics,3848,3710,3413,2791,2387,949,538,136,67,35,10,2,1,0.772,-1
e4,47903,PressureDynamics,3828,3711,3396,2788,2371,937,532,134,67,35,10,2,1,0.773,-1
e4,47911,PressureDynamics,3842,3699,3384,2777,2380,936,529,134,66,34,10,2,1,0.779,-1
e4,47920,PressureDynamics,3822,3699,3404,2792,2378,938,534,135,67,35,10,2,1,0.775,-1
e4,47928,PressureDynamics,3838,3696,3400,2792,2376,946,536,135,67,34,10,2,1,0.769,-1
e4,47936,PressureDynamics,3803,3695,3390,2775,2377,947,537,134,67,35,10,2,1,0.773,-1
e4,47945,PressureDynamics,3832,3695,3387,2758,2374,937,531,134,67,35,10,2,1,0.767,-1
e4,47953,PressureDynamics,3817,3696,3393,2759,2370,917,524,131,66,34,10,2,1,0.752,-1
e4,47962,PressureDynamics,3822,3691,3390,2755,2353,913,516,130,64,34,10,1,1,0.769,-1
e4,47971,PressureDynamics,3752,3639,3293,2641,2203,846,468,116,58,30,9,1,1,0.779,-1
e4,47979,PressureDynamics,3768,3637,3289,2611,2198,817,452,112,56,29,8,1,1,0.772,-1
e4,47987,PressureDynamics,3779,3649,3306,2633,2207,828,460,114,57,29,10,2,1,0.775,-1
e4,47997,PressureDynamics,3785,3606,3301,2634,2210,839,465,116,57,30,9,2,1,0.763,-1
e4,48005,PressureDynamics,3784,3653,3300,2642,2216,847,471,118,58,30,9,1,1,0.772,-1
e4,48014,PressureDynamics,3764,3642,3311,2642,2207,846,470,117,59,30,8,2,1,0.773,-1
e4,48022,PressureDynamics,3786,3656,3312,2659,2247,857,475,119,59,31,9,1,1,0.771,-1
e4,48031,PressureDynamics,3780,3662,3312,2644,2235,848,467,118,58,30,9,1,1,0.766,-1
e4,48039,PressureDynamics,3775,3651,3307,2663,2240,853,473,118,60,30,9,2,1,0.772,-1
e4,48048,PressureDynamics,3779,3642,3309,2656,2233,845,471,118,59,31,8,1,1,0.772,-1
e4,48059,PressureDynamics,3788,3682,3324,2685,2262,866,480,119,59,31,9,1,1,0.774,-1
e4,48068,PressureDynamics,3786,3670,3342,2695,2283,880,490,122,61,32,10,2,1,0.772,-1
e4,48077,PressureDynamics,3793,3677,3331,2691,2276,881,493,124,62,32,9,2,1,0.774,-1
e4,48086,PressureDynamics,3783,3662,3332,2675,2259,869,484,122,60,31,9,2,1,0.768,-1
e4,48094,PressureDynamics,3773,3656,3327,2682,2267,873,491,124,61,33,9,2,1,0.77,-1
e4,48101,PressureDynamics,3785,3687,3346,2689,2275,875,490,123,61,32,10,1,1,0.775,-1
e4,48110,PressureDynamics,3798,3693,3365,2708,2283,888,501,127,64,33,9,1,1,0.768,-1
