002_015_030,51563,PressureDynamics,3926,3781,3553,3051,2553,1297,807,227,117,62,18,4,3,0.887,-1
002_015_030,51568,PressureDynamics,3914,3774,3541,3050,2550,1295,807,227,117,62,18,3,3,0.878,-1
002_015_030,51573,PressureDynamics,3932,3789,3551,3050,2547,1293,803,228,117,62,18,3,3,0.886,-1
002_015_030,51579,PressureDynamics,3892,3761,3540,3040,2552,1292,805,227,117,62,19,3,3,0.886,-1
002_015_030,51584,PressureDynamics,3898,3767,3540,3040,2538,1285,798,225,117,62,19,4,3,0.883,-1
002_015_030,51589,PressureDynamics,3916,3771,3544,3052,2555,1299,806,227,117,62,18,3,3,0.882,-1
002_015_030,51594,PressureDynamics,3919,3797,3548,3056,2551,1289,803,227,117,62,18,4,3,0.886,-1
002_015_030,51600,PressureDynamics,3912,3778,3547,3053,2552,1295,806,226,116,62,19,3,2,0.887,-1
002_015_030,51607,PressureDynamics,3906,3777,3536,3050,2557,1296,801,226,115,62,18,4,3,0.879,-1
002_015_030,51612,PressureDynamics,3920,3782,3549,3052,2553,1296,805,226,117,62,18,4,3,0.884,-1
002_015_030,51617,PressureDynamics,3911,3787,3557,3042,2551,1293,805,227,116,63,19,5,3,0.887,-1
002_015_030,51622,PressureDynamics,3918,3789,3546,3053,2547,1295,803,225,116,62,18,4,2,0.884,-1
002_015_030,51627,PressureDynamics,3921,3776,3541,3047,2551,1293,805,227,117,62,18,4,2,0.883,-1
002_015_030,51633,PressureDynamics,3912,3783,3542,3049,2559,1294,803,226,117,62,18,4,3,0.889,-1
002_015_030,51639,PressureDynamics,3922,3787,3545,3053,2555,1298,808,227,117,62,18,4,3,0.884,-1
002_015_030,51644,PressureDynamics,3925,3786,3547,3048,2554,1298,807,226,117,63,18,4,3,0.881,-1
002_015_030,51649,PressureDynamics,3922,3786,3549,3067,2558,1304,811,228,117,63,18,4,3,0.884,-1
002_015_030,51655,PressureDynamics,3912,3775,3538,3050,2558,1297,809,228,119,62,18,4,2,0.887,-1
002_015_030,51661,PressureDynamics,3900,3780,3545,3050,2553,1296,805,226,117,61,18,4,3,0.884,-1
002_015_030,51668,PressureDynamics,3919,3783,3545,3066,2564,1301,810,227,117,63,19,4,3,0.887,-1
002_015_030,51673,PressureDynamics,3929,3794,3542,3053,2554,1298,807,227,118,62,19,4,2,0.889,-1
002_015_030,51678,PressureDynamics,3911,3777,3540,3053,2547,1299,808,227,118,61,18,3,2,0.886,-1
002_015_030,51683,PressureDynamics,3917,3776,3547,3049,2561,1302,810,227,117,62,18,4,3,0.881,-1
002_015_030,51688,PressureDynamics,3918,3785,3550,3058,2567,1306,810,227,117,62,19,4,2,0.885,-1
002_015_030,51694,PressureDynamics,3927,3778,3544,3050,2550,1297,807,227,117,63,18,4,3,0.885,-1
002_015_030,51700,PressureDynamics,3912,3771,3548,3052,2546,1289,805,227,118,62,18,4,2,0.885,-1
