LineID,	 Timestamp,		 ParticipantID,	 Repetition,	 Condition,	 PulseWidth,	 Frequency,	 Intensity,	 Granularity

15,	 21:2 29/3/2018,	 3,		 0,		 15,		 1500,		 220,		 0.5,		 0.5
16,	 21:2 29/3/2018,	 3,		 1,		 0,		 1500,		 100,		 0.5,		 0.5
17,	 21:4 29/3/2018,	 3,		 1,		 1,		 2000,		 100,		 0.5,		 0.5
18,	 21:5 29/3/2018,	 3,		 1,		 2,		 500,		 220,		 0.5,		 0.5
19,	 21:5 29/3/2018,	 3,		 1,		 3,		 500,		 10,		 0.5,		 0.5
20,	 21:5 29/3/2018,	 3,		 1,		 4,		 1000,		 220,		 0.5,		 0.5
21,	 21:5 29/3/2018,	 3,		 1,		 5,		 2000,		 10,		 0.5,		 0.5
22,	 21:5 29/3/2018,	 3,		 1,		 6,		 1000,		 100,		 0.5,		 0.5
23,	 21:5 29/3/2018,	 3,		 1,		 7,		 1500,		 10,		 0.5,		 0.5
24,	 21:5 29/3/2018,	 3,		 1,		 8,		 1500,		 40,		 0.5,		 0.5
25,	 21:5 29/3/2018,	 3,		 1,		 9,		 1000,		 40,		 0.5,		 0.5
26,	 21:5 29/3/2018,	 3,		 1,		 10,		 500,		 40,		 0.5,		 0.5
27,	 21:5 29/3/2018,	 3,		 1,		 11,		 1500,		 220,		 0.5,		 0.5
28,	 21:6 29/3/2018,	 3,		 1,		 12,		 2000,		 220,		 0.5,		 0.5
29,	 21:6 29/3/2018,	 3,		 1,		 13,		 2000,		 40,		 0.5,		 0.5
30,	 21:6 29/3/2018,	 3,		 1,		 14,		 500,		 100,		 0.5,		 0.5
31,	 21:6 29/3/2018,	 3,		 1,		 15,		 1000,		 10,		 0.5,		 0.5
32,	 21:6 29/3/2018,	 3,		 2,		 0,		 2000,		 40,		 0.5,		 0.5
33,	 21:6 29/3/2018,	 3,		 2,		 1,		 500,		 40,		 0.5,		 0.5
34,	 21:6 29/3/2018,	 3,		 2,		 2,		 500,		 10,		 0.5,		 0.5
35,	 21:6 29/3/2018,	 3,		 2,		 3,		 2000,		 10,		 0.5,		 0.5
36,	 21:6 29/3/2018,	 3,		 2,		 4,		 1000,		 40,		 0.5,		 0.5
37,	 21:6 29/3/2018,	 3,		 2,		 5,		 500,		 220,		 0.5,		 0.5
38,	 21:6 29/3/2018,	 3,		 2,		 6,		 1500,		 40,		 0.5,		 0.5
39,	 21:6 29/3/2018,	 3,		 2,		 7,		 1000,		 100,		 0.5,		 0.5
40,	 21:7 29/3/2018,	 3,		 2,		 8,		 2000,		 220,		 0.5,		 0.5
41,	 21:7 29/3/2018,	 3,		 2,		 9,		 1500,		 10,		 0.5,		 0.5
42,	 21:7 29/3/2018,	 3,		 2,		 10,		 1500,		 220,		 0.5,		 0.5
0,	 21:9 29/3/2018,	 3,		 0,		 0,		 500,		 100,		 0.5,		 0.5
1,	 21:9 29/3/2018,	 3,		 0,		 1,		 2000,		 10,		 0.5,		 0.5
2,	 21:10 29/3/2018,	 3,		 0,		 1,		 2000,		 10,		 0.5,		 0.5
3,	 21:10 29/3/2018,	 3,		 0,		 0,		 500,		 100,		 0.5,		 0.5
0,	 21:11 29/3/2018,	 3,		 0,		 0,		 500,		 100,		 0.5,		 0.5
1,	 21:11 29/3/2018,	 3,		 0,		 1,		 2000,		 10,		 0.5,		 0.5
2,	 21:11 29/3/2018,	 3,		 0,		 2,		 1000,		 220,		 0.5,		 0.5
3,	 21:12 29/3/2018,	 3,		 0,		 3,		 500,		 10,		 0.5,		 0.5
4,	 21:12 29/3/2018,	 3,		 0,		 4,		 500,		 220,		 0.5,		 0.5
5,	 21:12 29/3/2018,	 3,		 0,		 5,		 2000,		 40,		 0.5,		 0.5
6,	 21:12 29/3/2018,	 3,		 0,		 6,		 500,		 40,		 0.5,		 0.5
7,	 21:12 29/3/2018,	 3,		 0,		 7,		 2000,		 100,		 0.5,		 0.5
8,	 21:12 29/3/2018,	 3,		 0,		 8,		 1500,		 40,		 0.5,		 0.5
9,	 21:13 29/3/2018,	 3,		 0,		 9,		 1500,		 100,		 0.5,		 0.5
